Setophaga striata,6
Larus glaucoides,6
Podiceps auritus,6
Sphyrapicus nuchalis,6
Myioborus pictus,6
Psittacara erythrogenys,6
Calidris bairdii,6
Catharus ustulatus,5
Setophaga palmarum,5
Porzana carolina,5
Lanius ludovicianus,5
Setophaga dominica,5
Estrilda melpoda,5
Mareca penelope,5
Bubulcus ibis,5
Melanitta perspicillata,5
Artemisiospiza belli,5
Pluvialis squatarola,4
Melopsittacus undulatus,4
Setophaga pensylvanica,4
Cistothorus palustris,4
Calidris acuminata,4
Haliaeetus leucocephalus,4
Setophaga pinus,4
Ixobrychus exilis,4
Certhia americana,4
Alectoris chukar,4
Limnodromus griseus,4
Nymphicus hollandicus,4
Calidris alpina,4
Larus glaucescens,4
Mergus merganser,4
Cardinalis cardinalis,4
Piranga flava,4
Leiothlypis peregrina,3
Polioptila californica,3
Regulus satrapa,3
Cinclus mexicanus,3
Oreortyx pictus,3
Numenius americanus,3
Empidonax hammondii,3
Calidris canutus,3
Crithagra mozambica,3
Ammodramus savannarum,3
Asio otus,3
Columbina inca,3
Amphispiza bilineata,3
Haematopus bachmani,3
Meleagris gallopavo,3
Icterus spurius,3
Agapornis roseicollis,3
Pluvialis dominica,3
Calidris ruficollis,3
Numida meleagris,3
Chroicocephalus philadelphia,3
Dolichonyx oryzivorus,3
Sialia currucoides,3
Zenaida asiatica,3
Aratinga nenday,3
Mergus serrator,2
Setophaga graciae,2
Sula nebouxii,2
Cardellina canadensis,2
Rallus limicola,2
Xema sabini,2
Spizella atrogularis,2
Buteo albonotatus,2
Setophaga virens,2
Geothlypis tolmiei,2
Seiurus aurocapilla,2
Amazona ochrocephala,2
Glaucidium gnoma,2
Setophaga fusca,2
Cygnus columbianus,2
Calidris himantopus,2
Setophaga americana,2
Pipilo chlorurus,2
Campylorhynchus brunneicapillus,2
Falco mexicanus,2
Buteo regalis,2
Aythya marila,2
Setophaga castanea,2
Loxia curvirostra,2
Aythya americana,2
Bucephala clangula,2
Nyctanassa violacea,2
Psittacula krameri,2
Colinus virginianus,1
Gymnogyps californianus,1
Pionus maximiliani,1
Calidris pugnax,1
Setophaga magnolia,1
Troglodytes pacificus,1
Progne subis,1
Larus livens,1
Zonotrichia querula,1
Pycnonotus cafer,1
Auriparus flaviceps,1
Myadestes townsendi,1
Clangula hyemalis,1
Spizella pallida,1
Phalacrocorax pelagicus,1
Phalaropus fulicarius,1
Icterus icterus,1
Passerina cyanea,1
Calidris pusilla,1
Buteo platypterus,1
Ploceus melanocephalus,1
Chrysolophus pictus,1
Gavia pacifica,1
Phalacrocorax penicillatus,1
Calidris alba,1
Gavia stellata,1
Calidris virgata,1
Calamospiza melanocorys,1
Passerina ciris,1
Larus dominicanus,1
Asio flammeus,1
Thalasseus elegans,1
Nucifraga columbiana,1
Sporaeginthus subflavus,1
Oreoscoptes montanus,1
Carduelis carduelis,1
Larus canus,1
Leucophaeus atricilla,1
Botaurus lentiginosus,1
Melanitta americana,1
Lonchura striata,1
Leiothlypis virginiae,1
Gavia immer,1
Geopelia cuneata,1
Serinus canaria,1
